batch_idx,batch_cd,running_avg_cd,batch_f1_tau,running_avg_f1_tau,batch_f1_2tau,running_avg_f1_2tau
000285,0.000455,0.000035,0.554009,0.042616,0.737157,0.056704
000290,0.000457,0.000035,0.553594,0.042584,0.736301,0.056639
000295,0.000456,0.000035,0.552974,0.042536,0.735809,0.056601
000300,0.000455,0.000035,0.552874,0.042529,0.735826,0.056602
000305,0.000457,0.000035,0.551666,0.042436,0.734689,0.056515
000310,0.000459,0.000035,0.551679,0.042437,0.734616,0.056509
000315,0.000457,0.000035,0.552341,0.042488,0.735222,0.056556
000320,0.000454,0.000035,0.553313,0.042563,0.736276,0.056637
000325,0.000456,0.000035,0.552205,0.042477,0.735340,0.056565
000330,0.000459,0.000035,0.551622,0.042432,0.734562,0.056505
000335,0.000457,0.000035,0.552736,0.042518,0.735508,0.056578
000340,0.000457,0.000035,0.552642,0.042511,0.735358,0.056566
000345,0.000457,0.000035,0.552528,0.042502,0.735221,0.056555
000350,0.000455,0.000035,0.552621,0.042509,0.735441,0.056572
000355,0.000453,0.000035,0.554316,0.042640,0.736859,0.056681
000360,0.000451,0.000035,0.554754,0.042673,0.737286,0.056714
000365,0.000453,0.000035,0.554358,0.042643,0.736698,0.056669
000370,0.000452,0.000035,0.554471,0.042652,0.736977,0.056691
000375,0.000452,0.000035,0.554264,0.042636,0.736707,0.056670
000380,0.000454,0.000035,0.553638,0.042588,0.736106,0.056624
000385,0.000454,0.000035,0.553543,0.042580,0.736077,0.056621
000390,0.000452,0.000035,0.554232,0.042633,0.736583,0.056660
000395,0.000450,0.000035,0.555341,0.042719,0.737591,0.056738
000400,0.000449,0.000063,0.556218,0.090967,0.738387,0.118485
000405,0.000447,0.000061,0.557433,0.092105,0.739402,0.119230
000410,0.000447,0.000062,0.558103,0.091318,0.739930,0.118440
000415,0.000445,0.000061,0.559409,0.092015,0.740813,0.118666
000420,0.000443,0.000061,0.560459,0.092125,0.741515,0.118586
000425,0.000442,0.000060,0.561791,0.092542,0.742442,0.118803
000430,0.000440,0.000060,0.563400,0.093133,0.743596,0.119197
000435,0.000439,0.000060,0.563602,0.092408,0.743869,0.118762
000440,0.000438,0.000060,0.564547,0.092417,0.744660,0.118826
000445,0.000437,0.000060,0.565196,0.092234,0.745004,0.118579
000450,0.000436,0.000060,0.566014,0.092201,0.745692,0.118602
000455,0.000435,0.000060,0.567172,0.092385,0.746622,0.118773
000460,0.000434,0.000060,0.568263,0.092518,0.747357,0.118820
000465,0.000434,0.000061,0.568875,0.092396,0.747777,0.118707
000470,0.000433,0.000061,0.569592,0.092348,0.748304,0.118665
000475,0.000432,0.000061,0.569905,0.092127,0.748557,0.118507
000480,0.000431,0.000061,0.570862,0.092217,0.749365,0.118614
000485,0.000430,0.000061,0.571721,0.092264,0.750030,0.118656
000490,0.000429,0.000061,0.572814,0.092406,0.750882,0.118773
000495,0.000428,0.000061,0.574011,0.092583,0.751676,0.118863
000500,0.000426,0.000061,0.575125,0.092722,0.752654,0.119018
000505,0.000425,0.000061,0.575716,0.092669,0.753140,0.118991
000510,0.000426,0.000061,0.575510,0.092351,0.752832,0.118697
000515,0.000425,0.000061,0.576418,0.092428,0.753511,0.118753
000520,0.000424,0.000061,0.577287,0.092493,0.754159,0.118799
000525,0.000423,0.000061,0.578231,0.092581,0.754870,0.118866
000530,0.000423,0.000061,0.578661,0.092512,0.755087,0.118781
000535,0.000421,0.000061,0.579471,0.092562,0.755701,0.118821
000540,0.000421,0.000061,0.580044,0.092545,0.756149,0.118813
000545,0.000419,0.000061,0.580964,0.092630,0.756967,0.118912
000550,0.000418,0.000061,0.581826,0.092697,0.757491,0.118929
000555,0.000418,0.000061,0.582195,0.092633,0.757878,0.118910
000560,0.000418,0.000061,0.582149,0.092465,0.757776,0.118765
000565,0.000417,0.000061,0.582790,0.092483,0.758393,0.118814
000570,0.000416,0.000061,0.583484,0.092517,0.758955,0.118848
000575,0.000414,0.000060,0.584603,0.092656,0.759940,0.118988
000580,0.000414,0.000060,0.585150,0.092654,0.760338,0.118982
000585,0.000415,0.000061,0.584966,0.092481,0.760066,0.118818
000590,0.000415,0.000061,0.585111,0.092392,0.760089,0.118731
000595,0.000414,0.000082,0.586074,0.147146,0.760789,0.183791
