batch_idx,batch_cd,running_avg_cd,batch_f1_tau,running_avg_f1_tau,batch_f1_2tau,running_avg_f1_2tau
001465,0.000477,0.000139,0.595148,0.187399,0.754153,0.235770
001470,0.000477,0.000139,0.595269,0.187426,0.754205,0.235789
001475,0.000477,0.000139,0.595055,0.187394,0.753982,0.235759
001480,0.000477,0.000139,0.595101,0.187408,0.754026,0.235776
001485,0.000478,0.000139,0.594816,0.187365,0.753702,0.235729
001490,0.000478,0.000139,0.595214,0.187440,0.754036,0.235796
001495,0.000478,0.000139,0.595178,0.187439,0.754008,0.235799
001500,0.000480,0.000140,0.595019,0.187417,0.753748,0.235764
001505,0.000479,0.000139,0.594951,0.187412,0.753694,0.235764
001510,0.000479,0.000139,0.594912,0.187411,0.753703,0.235774
001515,0.000479,0.000139,0.594922,0.187418,0.753699,0.235781
001520,0.000479,0.000139,0.594825,0.187407,0.753611,0.235775
001525,0.000478,0.000139,0.594806,0.187409,0.753637,0.235788
001530,0.000479,0.000139,0.594722,0.187401,0.753516,0.235776
001535,0.000479,0.000139,0.594864,0.187429,0.753629,0.235802
001540,0.000479,0.000139,0.594653,0.187400,0.753439,0.235779
001545,0.000478,0.000139,0.594907,0.187447,0.753646,0.235821
001550,0.000479,0.000139,0.594731,0.187423,0.753453,0.235797
001555,0.000479,0.000139,0.594653,0.187415,0.753381,0.235793
001560,0.000478,0.000139,0.594766,0.187438,0.753443,0.235811
001565,0.000478,0.000139,0.594980,0.187478,0.753582,0.235841
001570,0.000478,0.000139,0.594785,0.187451,0.753416,0.235821
001575,0.000478,0.000139,0.594677,0.187439,0.753309,0.235811
001580,0.000478,0.000139,0.594558,0.187424,0.753178,0.235798
001585,0.000478,0.000139,0.594695,0.187451,0.753297,0.235824
001590,0.000478,0.000139,0.594527,0.187429,0.753126,0.235804
001595,0.000479,0.000139,0.594403,0.187414,0.752995,0.235790
001600,0.000478,0.000139,0.594478,0.187430,0.753055,0.235807
001605,0.000478,0.000139,0.594567,0.187449,0.753131,0.235826
001610,0.000478,0.000139,0.594540,0.187449,0.753132,0.235833
001615,0.000479,0.000139,0.594358,0.187425,0.752868,0.235798
001620,0.000479,0.000139,0.594405,0.187437,0.752927,0.235814
001625,0.000480,0.000139,0.594302,0.187425,0.752779,0.235798
001630,0.000481,0.000139,0.594420,0.187448,0.752851,0.235816
001635,0.000481,0.000139,0.594317,0.187436,0.752787,0.235812
